1,10.53,8.15,12.95,22.91,19.31,17.38,1
16.19,16.87,15.45,26.1,30.03,28.93,22.1,13.83
20.35,29.74,31.51,32,32.61,30.77,28.51,18.27
23.2,30.16,33.58,31.33,32.68,32.5,29.16,22.3
23.59,30.12,35.57,34.37,33.38,36.14,32.69,23.25
19.59,31.83,34.26,34.59,34.94,34.83,27.98,18.69
14.86,25.6,29.54,31.84,29.9,27.4,21.3,13.9
1,15.4,19.79,20.56,18.96,19,16.32,1
